source_id,document_name,source_type,fiscal_year,agency,original_url,accessible_archived_url,granularity_available,notes
S016,FY2025 Senate LHHS Report,Senate Approp Committee,2025,HHS,https://www.congress.gov/118/crpt/srpt201/CRPT-118srpt201.pdf,,Program-level + sub-program,Senate FY2025 LHHS Appropriations Report (S.Rept. 118-201). CDC section pp.68-104. Sub-program tables included. Units: full dollars.
S017,FY2025 House LHHS Report,House Approp Committee,2025,HHS,https://www.congress.gov/congressional-report/118th-congress/house-report/835,,Program-level + sub-program,House FY2025 LHHS Appropriations Report (H.Rept. 118-835). CDC section. Sub-program tables. Units: full dollars.
S018,FY2026 House LHHS Report,House Approp Committee,2026,HHS,https://www.congress.gov/119/crpt/hrpt271/CRPT-119hrpt271.pdf,,Program-level + sub-program,House FY2026 LHHS Appropriations Report. CDC section pp.57-90. Sub-program tables. Units: full dollars.
S019,FY2026 AHA Congressional Justification,Congressional Justification,2026,AHA,https://www.hhs.gov/sites/default/files/fy-2026-aha-cj.pdf,,Program-level + sub-program,Administration for a Healthy America FY2026 CJ. Pages 21-24 cover CDC-origin programs transferred to AHA. All-Purpose Table amounts in $thousands.
S020,FY2026 General Departmental Management,Congressional Justification,2026,HHS,https://www.hhs.gov/sites/default/files/fy-2026-gdm-cj.pdf,,Program-level,"HHS General Departmental Management CJ FY2026. Contains Office of Strategy chapter including NCHS ($175.297M PHS Evaluation, p.62)."
S021,FY2026 LHHS Joint Explanatory Statement (P.L. 119-75),Joint Explanatory Statement,2026,HHS,https://appropriations.house.gov/sites/evo-subsites/republicans-appropriations.house.gov/files/evo-media-document/DEF_LHHS_HS_THUD-JES-Division_B-LHHS-1-19-2026.pdf,,Sub-program level,"FY2026 LHHS Joint Explanatory Statement accompanying P.L. 119-75. Direct PDF link. Sub-program detail for all CDC programs. Units: full dollars (÷1,000,000 for $M). budget_stage = Enacted."
S022,FY2024 LHHS Joint Explanatory Statement (P.L. 118-47),Joint Explanatory Statement,2024,HHS,https://docs.house.gov/billsthisweek/20240318/Division%20D%20LHHS.pdf,,Sub-program level,"FY2024 LHHS Joint Explanatory Statement accompanying P.L. 118-47. Direct PDF link. CDC section pp.19-37. Sub-program tables for all CDC programs. Units: full dollars (÷1,000 for $M). budget_stage = Enacted."
S023,FY2027 CDC Congressional Justification,Congressional Justification,2027,CDC,https://www.cdc.gov/budget/documents/fy2027/fy-2027-cdc-cj.pdf,,Program + sub-program,FY2027 President's Budget. New NCCT program. PPHF=$0.
S024,FY2027 AHA Congressional Justification,Congressional Justification,2027,AHA,https://www.hhs.gov/sites/default/files/fy-2027-aha-cj.pdf,,Program + sub-program,"FY2027 PB. CDC-origin programs only: Chronic Disease, HIV/AIDS (Domestic HIV), Injury Prevention, Birth Defects. PPHF=$0 (proposed elimination)."
S025,FY2027 General Departmental Management Congressional Justification,Congressional Justification,2027,OS,https://www.hhs.gov/sites/default/files/fy-2027-gdm-cj.pdf,,Program,Office of Strategy section. Health Statistics (formerly CDC NCHS) PHS Evaluation $175.297M. Discretionary BA = $0. Source page 59.
S026,FY2026 CDC Operating Plan,Operational Plan,2026,CDC,https://www.cdc.gov/budget/documents/fy2026/FY-2026-CDC-Operating-Plan.pdf,,Program + sub-program,"Post-enactment CDC spending plan. Reflects FY2026 enacted allocation. Amounts in thousands. PHS Eval $42,944K. PPHF $1,398,375K. EEOICPA at sequester rate."
S027,FY2027 HHS Budget in Brief,Budget in Brief,2027,HHS,https://www.hhs.gov/sites/default/files/fy-2027-budget-in-brief.pdf,,Program,"Program-level only. CDC p.20: 9 programs + mandatory totals. AHA p.42: CDC-origin programs only (Chronic Disease, Injury, HIV/AIDS, Birth Defects). OS p.54: Health Statistics PHS Evaluation $175M. PPHF = $0 (proposed elimination). Amounts rounded to nearest $M."
